,param_tol,param_shrinking,param_kernel,param_gamma,param_degree,param_coef0,params,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score,avgTestScore
141,0.001,False,rbf,0.2,3,0.75,"{'tol': 0.001, 'shrinking': False, 'kernel': 'rbf', 'gamma': 0.2, 'degree': 3, 'coef0': 0.75}",0.16530278232405893,0.013761563434356517,90,0.8538702979844863,0.004646912686907823,
142,0.001,False,rbf,0.05,3,0.65,"{'tol': 0.001, 'shrinking': False, 'kernel': 'rbf', 'gamma': 0.05, 'degree': 3, 'coef0': 0.65}",0.1783960720130933,0.012867608334345231,39,0.7548648520810113,0.006331637152035541,
143,1e-07,True,rbf,auto,1,0.55,"{'tol': 1e-07, 'shrinking': True, 'kernel': 'rbf', 'gamma': 'auto', 'degree': 1, 'coef0': 0.55}",0.20130932896890344,0.02235384520228715,11,0.5102411924025599,0.003944324451642268,
144,1e-08,True,sigmoid,0.01,0,0.8,"{'tol': 1e-08, 'shrinking': True, 'kernel': 'sigmoid', 'gamma': 0.01, 'degree': 0, 'coef0': 0.8}",0.15548281505728315,0.01137709905620778,104,0.15721172009881737,0.004541790642714685,
145,0.0001,True,sigmoid,0.15,4,0.75,"{'tol': 0.0001, 'shrinking': True, 'kernel': 'sigmoid', 'gamma': 0.15, 'degree': 4, 'coef0': 0.75}",0.15548281505728315,0.01137709905620778,104,0.15721172009881737,0.004541790642714685,
146,1e-08,True,rbf,0.01,0,0.65,"{'tol': 1e-08, 'shrinking': True, 'kernel': 'rbf', 'gamma': 0.01, 'degree': 0, 'coef0': 0.65}",0.18985270049099837,0.01674036150216822,25,0.6100446257587564,0.00592771123710777,
147,1e-06,False,sigmoid,0.05,0,0.5,"{'tol': 1e-06, 'shrinking': False, 'kernel': 'sigmoid', 'gamma': 0.05, 'degree': 0, 'coef0': 0.5}",0.15384615384615385,0.011870153984500762,126,0.15759359508848525,0.0036248506092250773,
148,1e-05,False,rbf,0.2,1,0.75,"{'tol': 1e-05, 'shrinking': False, 'kernel': 'rbf', 'gamma': 0.2, 'degree': 1, 'coef0': 0.75}",0.16530278232405893,0.013761563434356517,90,0.8538702979844863,0.004646912686907823,
149,1e-05,True,sigmoid,auto,5,0.4,"{'tol': 1e-05, 'shrinking': True, 'kernel': 'sigmoid', 'gamma': 'auto', 'degree': 5, 'coef0': 0.4}",0.15384615384615385,0.011870153984500762,126,0.15759359508848525,0.0036248506092250773,
150,1e-05,True,rbf,0.05,5,0.0,"{'tol': 1e-05, 'shrinking': True, 'kernel': 'rbf', 'gamma': 0.05, 'degree': 5, 'coef0': 0.0}",0.1783960720130933,0.012867608334345231,39,0.7548648520810113,0.006331637152035541,
